fvc_true,fvc_pred
2.7,2.6150297029703107
3.0,3.04
3.0,2.992217821782184
2.63,2.7781584158416064
3.4,3.5463762376237318
2.71,2.8688316831683105
2.96,2.899544554455435
3.36,3.3987920792079187
3.36,3.36
3.45,3.377841584158394
2.92,2.888772277227714
2.81,2.8084554455445216
2.81,2.714851485148524
2.98,3.020970297029688
3.61,3.3977821782178426
3.03,2.893603960396035
3.03,3.0399999999999996
2.95,2.8099999999999663
2.95,3.1055445544554496
2.55,2.724396039603972
3.03,2.9907326732673334
3.02,3.020851485148499
2.8,2.8099999999999996
2.0,2.0
2.85,2.8874851485148727
2.89,2.7129108910891264
2.89,2.8989900990099158
2.95,2.98
3.0,2.9555643564356653
2.99,2.863603960396048
2.99,2.9093465346534666
2.96,2.96
3.33,3.33
3.33,3.130970297029704
3.72,3.74
3.72,3.73
2.96,2.777069306930707
2.96,2.900019801980217
2.88,2.8718415841584104
2.77,2.7286138613861475
2.77,2.77
2.99,2.890792079207939
2.99,2.970138613861395
2.71,2.7399999999999998
4.23,4.2700000000000005
4.23,4.260000000000001
2.4,2.44
2.4,2.4299999999999997
2.89,2.88752475247527
2.89,2.9520000000000133
2.41,2.517148514851488
2.41,2.44
2.32,2.3499999999999996
2.98,3.02
2.98,2.9899999999999998
2.57,2.57
2.51,2.5199999999999996
2.51,2.51
2.81,2.81
2.81,2.85
